train/n_updates,train/value_loss,train/learning_rate,train/policy_loss,train/entropy_loss,train/std,time/fps,time/iterations,train/explained_variance,train/reward,time/time_elapsed,time/total_timesteps
2499,1.2322208881378174,0.0007,-30.45820426940918,-41.66150665283203,1.0181803703308105,99,2500,-1.1920928955078125e-07,-0.6775755,125,12500
2599,1.1992393732070923,0.0007,32.33782196044922,-41.65235900878906,1.0181368589401245,100,2600,-1.1920928955078125e-07,3.0196373,129,13000
2699,1.880531668663025,0.0007,48.49734115600586,-41.69934844970703,1.0194323062896729,100,2700,0.0648261308670044,-1.8973987,134,13500
2799,57.32960891723633,0.0007,308.3924255371094,-41.694820404052734,1.0195845365524292,100,2800,-1.1920928955078125e-07,2.8944852,139,14000
2899,8.88123607635498,0.0007,-117.2534408569336,-41.72449493408203,1.0205374956130981,101,2900,-3.5762786865234375e-07,1.8488793,143,14500
2999,0.10154151171445847,0.0007,3.9807076454162598,-41.828609466552734,1.0240788459777832,101,3000,5.960464477539063e-08,0.260266,148,15000
3099,0.5798274874687195,0.0007,6.137366771697998,-41.83492660522461,1.0240157842636108,101,3100,0.0,-0.18214704,152,15500
3199,19.1113338470459,0.0007,-98.85482025146484,-41.85189437866211,1.0249836444854736,101,3200,-1.1920928955078125e-07,-1.9565057,157,16000
3299,32.12257766723633,0.0007,-198.8560028076172,-41.85478210449219,1.0252376794815063,101,3300,0.0,1.7313249,162,16500
3399,16.350542068481445,0.0007,120.06121826171875,-41.80055618286133,1.0230802297592163,101,3400,0.0,5.4731264,166,17000
3499,8.865055084228516,0.0007,111.17657470703125,-41.7921257019043,1.022936463356018,102,3500,-0.027007102966308594,0.15176553,171,17500
3599,1.16334068775177,0.0007,-22.92355728149414,-41.78948974609375,1.0228121280670166,102,3600,0.0,1.2557095,176,18000
3699,8.674280166625977,0.0007,111.88136291503906,-41.86208724975586,1.0253673791885376,102,3700,5.960464477539063e-08,-1.9729638,180,18500
3799,8.834495544433594,0.0007,119.96337890625,-41.93849182128906,1.0283156633377075,102,3800,0.0,0.6203998,185,19000
3899,29.660690307617188,0.0007,-217.0560302734375,-42.052001953125,1.0320756435394287,102,3900,0.0,1.0554643,190,19500
3999,54.429901123046875,0.0007,-313.9197692871094,-42.07295227050781,1.0327504873275757,102,4000,0.0,4.7121725,194,20000
4099,0.7615586519241333,0.0007,-7.287621974945068,-42.10565185546875,1.0338126420974731,102,4100,0.0,0.08846258,199,20500
4199,5.964732646942139,0.0007,-85.1406478881836,-42.10474395751953,1.0341023206710815,102,4200,1.1920928955078125e-07,0.9444181,204,21000
4299,12.337538719177246,0.0007,-134.4779510498047,-42.078887939453125,1.0332926511764526,102,4300,0.0,4.770794,208,21500
4399,11.784262657165527,0.0007,105.46253967285156,-42.06155014038086,1.032568335533142,102,4400,-1.1920928955078125e-07,1.9008546,213,22000
4499,37.867401123046875,0.0007,205.76597595214844,-42.09381103515625,1.0337120294570923,103,4500,1.1920928955078125e-07,-1.3398763,218,22500
4599,22.410568237304688,0.0007,168.0700225830078,-42.0733642578125,1.0329631567001343,103,4600,0.0,6.0184593,222,23000
4699,9.509242057800293,0.0007,-110.41313934326172,-42.185665130615234,1.0370292663574219,103,4700,0.0,0.3417877,227,23500
4799,6.470954895019531,0.0007,-107.9087905883789,-42.26292419433594,1.039576530456543,103,4800,0.0,-0.976139,232,24000
4899,1.3067009449005127,0.0007,-36.4741096496582,-42.3077507019043,1.0415525436401367,103,4900,0.0,0.47295007,237,24500
4999,4.450663089752197,0.0007,56.93503952026367,-42.379127502441406,1.044135570526123,103,5000,0.0,-0.5308896,241,25000
5099,17.294660568237305,0.0007,-110.1842269897461,-42.38436508178711,1.0442053079605103,103,5100,0.0,-1.9031373,246,25500
5199,146.7404022216797,0.0007,-479.6590881347656,-42.38855743408203,1.0444402694702148,103,5200,0.0,3.9432917,251,26000
5299,0.467505544424057,0.0007,-27.724899291992188,-42.38066482543945,1.0441246032714844,103,5300,0.0,0.5097055,256,26500
5399,13.698430061340332,0.0007,97.40117645263672,-42.36994171142578,1.0438107252120972,103,5400,0.0,-0.21185152,260,27000
5499,19.652578353881836,0.0007,-55.4397087097168,-42.40944290161133,1.0447909832000732,103,5500,0.0035642385482788086,2.0259786,265,27500
5599,10.906880378723145,0.0007,-113.1928939819336,-42.35234069824219,1.0431631803512573,103,5600,0.0,-1.3711272,269,28000
5699,7.467517375946045,0.0007,-72.02618408203125,-42.36463928222656,1.0438734292984009,103,5700,0.0,-0.98385024,274,28500
5799,2.3980326652526855,0.0007,-34.802486419677734,-42.354225158691406,1.0430916547775269,103,5800,-0.12560343742370605,1.0769047,279,29000
5899,0.2867884337902069,0.0007,-16.480823516845703,-42.349525451660156,1.0429996252059937,103,5900,0.0,-0.034104265,283,29500
5999,3.772611379623413,0.0007,57.98994827270508,-42.3608283996582,1.0434976816177368,103,6000,5.960464477539063e-08,-0.38149226,288,30000
6099,4.741131782531738,0.0007,35.54243469238281,-42.403656005859375,1.0450066328048706,104,6100,0.0,-1.8691139,293,30500
6199,2.041032552719116,0.0007,-9.001627922058105,-42.46992874145508,1.047256350517273,104,6200,0.0,-0.48611382,297,31000
6299,5.109673023223877,0.0007,40.967803955078125,-42.528743743896484,1.0493199825286865,104,6300,0.0,3.1559389,302,31500
6399,1.731635332107544,0.0007,49.24756622314453,-42.59595489501953,1.0518895387649536,104,6400,0.04213446378707886,0.8848122,307,32000
6499,1.0047630071640015,0.0007,0.4126296937465668,-42.64765167236328,1.0537892580032349,104,6500,0.2894842028617859,-3.396548,311,32500
6599,6.687000274658203,0.0007,-79.2901840209961,-42.669105529785156,1.0544190406799316,104,6600,0.0,-0.46146256,316,33000
6699,382.1014709472656,0.0007,-780.02685546875,-42.69727325439453,1.055439829826355,104,6700,0.004579484462738037,-5.730236,321,33500
6799,27.377668380737305,0.0007,-209.13340759277344,-42.78778076171875,1.0588570833206177,104,6800,0.0,0.55269736,325,34000
6899,24.250185012817383,0.0007,125.28016662597656,-42.74647521972656,1.0573058128356934,104,6900,0.0,-0.7730595,330,34500
6999,0.8386864066123962,0.0007,29.779251098632812,-42.79326248168945,1.0590882301330566,104,7000,0.0,0.17269997,335,35000
7099,0.6899563670158386,0.0007,24.928125381469727,-42.78232955932617,1.0586633682250977,104,7100,0.0,0.5368473,339,35500
7199,40.011714935302734,0.0007,-283.4029235839844,-42.80023193359375,1.059107780456543,104,7200,-1.1920928955078125e-07,0.23633873,344,36000
7299,25.80344581604004,0.0007,174.52346801757812,-42.808868408203125,1.0596215724945068,104,7300,0.0,-0.2561297,349,36500
7399,6.321409225463867,0.0007,-17.985624313354492,-42.82558059692383,1.0599476099014282,104,7400,0.0,-5.361117,353,37000
7499,6.684813022613525,0.0007,95.71831512451172,-42.81841278076172,1.0600171089172363,104,7500,-1.1920928955078125e-07,1.2376721,358,37500
7599,5.9248270988464355,0.0007,-101.7880859375,-42.74494934082031,1.057387351989746,104,7600,5.960464477539063e-08,1.2518629,363,38000
7699,2.174401044845581,0.0007,-53.21371078491211,-42.82249069213867,1.060424566268921,104,7700,1.1920928955078125e-07,1.7100748,369,38500
7799,1.9113903045654297,0.0007,-35.58681869506836,-42.792625427246094,1.0594890117645264,103,7800,1.1920928955078125e-07,-3.2164109,375,39000
7899,75.66558074951172,0.0007,374.2566833496094,-42.79732894897461,1.0596001148223877,103,7900,5.960464477539063e-08,1.6105194,380,39500
7999,1.8189886808395386,0.0007,-19.7238712310791,-42.79145812988281,1.0595389604568481,103,8000,-1.1920928955078125e-07,2.5263324,385,40000
8099,11.645770072937012,0.0007,-40.66437530517578,-42.803611755371094,1.0599924325942993,103,8100,0.0,4.778373,390,40500
8199,1.1054167747497559,0.0007,39.138423919677734,-42.82557678222656,1.06078040599823,103,8200,0.0,0.24881849,395,41000
